key,value
est,0.1880352202444951
nst,0.17989626056874664
ent,0.1766839182101803
sty,0.16275465779987014
hst,0.162047213775526
ist,0.159241043018867
stu,0.1587835043828685
ens,0.14355188752236642
eht,0.14210811670872311
ntu,0.13383256690924528
stx,0.1287072406077643
jst,0.12868717908650282
hnt,0.1273670016359217
etx,0.1266869460594471
stw,0.12531561752709022
qst,0.12471928894551478
stz,0.12462100962599018
kst,0.12415054159384856
hit,0.12227754951071398
gst,0.12037330907205283
stv,0.11996796853065732
enx,0.11884550919085134
nty,0.11870396258384008
enu,0.1183314728665082
env,0.11787764817329635
int,0.11690586650411285
ety,0.11573670355144991
hty,0.11570640481103285
fst,0.11394640455356954
etu,0.11358711028993555
eit,0.1125643084720421
etv,0.11193584935207966
dst,0.11175886776953621
nsu,0.10583976304784697
det,0.1056769843498242
ehn,0.10504466095877152
htu,0.10432787188609859
esx,0.10402879731447455
den,0.10228541939671676
esu,0.0987634441690817
esv,0.09866762880397195
eqt,0.09671633991589311
egn,0.09667807412241397
enq,0.09602408983662619
etz,0.09533058310984521
enz,0.0947663162755356
eis,0.09380268325039184
ntx,0.09372118989630476
egt,0.0936306989312547
des,0.09334198468087479
eny,0.09274063913573051
etw,0.09226842578900063
eft,0.09224082069416482
ehs,0.09198712987956113
evx,0.09177746151963702
ein,0.09142951207688334
enw,0.09127565286334795
ntv,0.08942234264524401
knt,0.0890989493836505
ekn,0.08896811839763873
ejt,0.0887642770217494
nqu,0.08871849436124386
htx,0.08829093795010395
efn,0.08815531034313938
ekt,0.08791559699391271
hiw,0.08783961349061661
ity,0.08782437239093838
ejn,0.08714084770868469
ntz,0.08691824589533595
nqt,0.0867452834708722
jnt,0.08659587125680533
gnt,0.08655037361646975
esy,0.08575179775108033
ins,0.08475350973648249
ntw,0.08436812574514267
htw,0.08419704734529292
ehx,0.08310705207042386
dgi,0.08271698665936174
dit,0.08267670033640179
egs,0.08237025442151161
tuy,0.08219507011386022
dex,0.08200828660460009
dis,0.08119670021822666
